id	url	page
f63ef2cb867a37c4afadcbb06064b61e	https://www.mfa.gov.bt/%e0%bd%82%e0%bd%93%e0%bd%a6%e0%bc%8b%e0%bd%9a%e0%bd%b4%e0%bd%a3%e0%bc%8b%e0%bd%82%e0%bd%a6%e0%bd%a2%e0%bc%8b%e0%bd%96%e0%bd%8f%e0%bd%bc%e0%bd%93%e0%bc%8d/	6
65f978cf1bdb3d01b19e533b8cd557e5	https://www.mfa.gov.bt/press-release-554/	6
0cef60107e393fb6a4923aae44854ee0	https://www.mfa.gov.bt/press-release-553/	6
068992f26a603fbdada43e0b5ad8ceb9	https://www.mfa.gov.bt/press-release-552/	6
5458a053cca6322f837be0e320736054	https://www.mfa.gov.bt/press-release-551/	6
3d64d985e4f932b981ec7bf1d9a7800f	https://www.mfa.gov.bt/mfa-lecture-series-on-compassionate-leadership/	6
99b1d25dc5c03633afd432cd157ad0f0	https://www.mfa.gov.bt/press-release-550/	7
f9963eee879e38f98e03ac35faa760f9	https://www.mfa.gov.bt/press-release-549/	7
b2d9bdd943ca38a385f7fbdef11d705e	https://www.mfa.gov.bt/presentation-of-credentials-by-ambassadors-designate-of-germany-argentina-thailand-cuba-israel-and-colombia-to-bhutan/	7
49a2b70277363f2e8e92ba2b8f582287	https://www.mfa.gov.bt/the-ministry-of-foreign-affairs-observes-bimstec-day-6-june-2022/	7
eb3b7b003a423263a7a02ae20288494c	https://www.mfa.gov.bt/stockholm50-under-the-theme-a-healthy-planet-for-the-prosperity-of-all-our-responsibility-our-opportunity-2-3-june-2022-at-stockholm-sweden/	7
1220cf23c3bd3d87b9ca3f57fc636da7	https://www.mfa.gov.bt/on-the-seventy-eighth-session-of-the-economic-and-social-commission-for-asia-and-the-pacific-escap/	7
db1a573d256a3d87b48290bc2a6ca6cf	https://www.mfa.gov.bt/signing-ceremony-for-covid-19-crisis-emergency-support-loan/	7
0b69c81f2dcc3adc97877bc2c09f1501	https://www.mfa.gov.bt/press-release-548/	7
54ffd9e31d1a364b92d6be1a766d20cf	https://www.mfa.gov.bt/12304/	7
0dcea9eabba537ae952c28489c9d7e0c	https://www.mfa.gov.bt/press-release-547/	7
c1a18e9d36c231f7904138aa6b04bb38	https://www.mfa.gov.bt/press-release-546/	8
6848f20590e13001931f4305c337a919	https://www.mfa.gov.bt/press-release-545/	8
81f02e432d613470b49dd71fa7bb7eda	https://www.mfa.gov.bt/press-release-544/	8
cc8d5bc376c7345ead369c0077324484	https://www.mfa.gov.bt/press-release-543/	8
f44c00884c153ade8b841a6a65599ce1	https://www.mfa.gov.bt/press-release-542/	8
1e6530a566fe3678b05b17f6a6a3b636	https://www.mfa.gov.bt/presentation-of-credentials-by-ms-karla-robin-hershey-un-resident-coordinator/	8
d2a0b7b4a8df3781832b4f4a1d896be6	https://www.mfa.gov.bt/press-release-541/	8
4cea49cf1b5c3e4980b5a923bbee73a0	https://www.mfa.gov.bt/5th-bimstec-summit/	8
807e8b71a9eb30dcba3ac8f76408c5a2	https://www.mfa.gov.bt/press-release-540/	8
080e70a4a63631a49566450339f6834f	https://www.mfa.gov.bt/signing-of-grant-contract-under-the-grant-assistance-for-grassroots-projects-ggp-2/	8
98d111746cd73823ab529289d3d1e81a	https://www.mfa.gov.bt/third-bhutan-denmark-biennial-consultation/	9
bc6bea96e35235e18ba9f3afc60cad49	https://www.mfa.gov.bt/press-release-539/	9
f1bb0c2cf8893d8cb77c5d028c943660	https://www.mfa.gov.bt/eu-bhutan-hold-their-tenth-annual-consultations/	9
b6a05e5a3f20308eb52633b83771ceb9	https://www.mfa.gov.bt/press-release-on-the-signing-of-the-statement-acknowledging-the-ratification-of-the-country-framework-agreement-between-bhutan-and-the-european-investment-bank/	9
9a6a0bc24fe1308e8d8a103a31128acf	https://www.mfa.gov.bt/press-release-538/	9
78edade96c943f77a39c6c554aa6c3d7	https://www.mfa.gov.bt/press-release-537/	9
2033be44fb1a3a1dbed5362fce3a82b9	https://www.mfa.gov.bt/press-release-536/	9
c66de415de49362e85edb38d07e0374f	https://www.mfa.gov.bt/11807/	9
080d05d605643e4795a730742728df1c	https://www.mfa.gov.bt/mfa-domestic-outreach-programme-2/	9
140a8904b6273763a82d52a57e6182eb	https://www.mfa.gov.bt/press-release-535/	9
53dd7b8503663d4ba9a258264adbe71c	https://www.mfa.gov.bt/press-release-534/	10
3df421444dc632f1baf9438b629100ce	https://www.mfa.gov.bt/press-release-533/	10
2809ae6f908c3842b7f2f0aa5f5ba753	https://www.mfa.gov.bt/press-release-532/	10
facd9490981836cb8eab28316988f730	https://www.mfa.gov.bt/press-release-531/	10
921d1b3f821b389fb03296354f9a1fa2	https://www.mfa.gov.bt/press-release-530/	10
5f08d0a5b86b38d7845375fdc91ec791	https://www.mfa.gov.bt/special-ceremony-to-present-the-letter-of-credence/	10
e9cab10cb98e337fb1d281a3df2bc9e4	https://www.mfa.gov.bt/ninth-meeting-of-the-bimstec-joint-working-group-on-counter-terrorism-and-transnational-crime-jwg-cttc/	10
a8582ea1d0353278b346120176b31169	https://www.mfa.gov.bt/press-release-529/	10
37cc132552013c209dde27addb767407	https://www.mfa.gov.bt/press-release-528/	10
a184c4917e1530e7b0a7f47b3ddf97c1	https://www.mfa.gov.bt/asia-cooperation-dialogue-foreign-ministers-meeting/	10
